585043978694844416	RT @CheerVines: Cheerleaders do everything better 💁 http://t.co/ki8TiIYlwd
585043978694729730	@SuperIdol_RP bole join?
585044884362432512	Crazy how people are offended by a flag burn, but not by fascist neo-Nazi thugs attacking others #qanda @qanda
585044884362366976	Having an anti-human day. Good for thought? https://t.co/nyalnRQz2m
585044884354007043	RT @Mamamiaaa___: When your nigga friends try to talk to you on the low 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
585044884354007042	@Louis_Tomlinson I LOVE YOU SO MUCH
585044884345790464	Tattered Lace Cutting Dies Stephanie Weightman NEW 2015 LATEST DESIGNS http://t.co/2eoML6GIKm http://t.co/Cj5tPBJrqT
585044884341465088	"In my dreams you are mine but in real life youre a dream" http://t.co/JGix08u3n0
585044884333043713	RT @lnsaneTweets: WHEN YOU THINK SOMEONE LIKES YOU
AND THEN THEY GET IN A RELATIONSHIP WITH SOMEONE ELSE
JOKES ON ME
AHAHAHAHAAH
585044884329013248	@zaynmalik here I am missing you as always ❤️
585044884320555009	RT @Sawrcasm: MORNING http://t.co/V2C3wKYwqg
585044884320555008	Northern Frontrunners ... Anyone else feel like they've eaten too much chocolate this easter? (Or in my case... http://t.co/y2biKcxw6A
585044884316360704	@Andrew_SW @Elwick70 @pandocruises I was on Ventura in December. Quality boat.
585044884312068097	RT @itss_doniss: Love the way my hair came out this morning 😭💦💞💋 http://t.co/0FcVwG4mGa
585044884299517953	@ap_dopee You Need To Post Mine Bro Folks Can't See The Dunk 😂💀
585044884299493376	RT @ArianaOuija: retweet if you want to gain just follow all who retweets this and follow back whoever follows you

@arianasmedley | @ritab…
585044884295442432	RT @MichaelStulman: "I'd like to thank the American people who helped CRS support this community" - Loditta Basile #CARcrisis
585044884295258113	Today stats: No new followers, One unfollower via http://t.co/24GTnWdYB7
585044884291190784	RT @Epic_Women: A happy person is not a person in a certain set of circumstances, but rather a person with a certain set of attitudes.
585044884286869505	Jennifer Lawrence NUDE PHOTOS Leaked AGAIN!  Wikipedia Page HACKED: http://t.co/bBKRBB5gI9 http://t.co/q5Zo3KumWR #popular
585044884282744832	Start playing Paradise Island on Android http://t.co/b91mIrjbzW #Android #Androidgames #Gameinsight http://t.co/H8WwAtvJyR
585044884266029058	When you work with your hands having your dominant wounded I absolutely terrible
585044884261736448	RT @SarcasmNote: “Lonely and alone: there’s a difference.”
585044884244955136	RT @macuzokoxym: Zena Claire claims three obese former staff at her salon in Barnsley, south Yorkshire, faked clients so they could sneak o…
585044884240883712	RT @Mrasseater69: Deepthroat that dick 305miami Miamiboy1 Miami!Vers! (Vine by Yngwildnigga) https://t.co/LCI8fFXFjs
